package,handle
CoordinateCleaner,BiodivRsity
neotoma,neotomadb
neotoma,sjGoring
NLMR,msciain
plotly,cpsievert
rcrossref,CrossrefOrg
rentrez,theatavism
rgbif,GBIF
rotl,fmic_
rotl,opentreeoflife
spatsoc,robit_alec
tabulizer,tpaskhalis
RSelenium,slothsonian
weathercan,steffilazerte
weathercan,big_bad_sam
MODIStsp,lbusetto74
osmdata,bikesRdata
osmplotr,bikesRdata
bikedata,bikesRdata
phylotaR,dominicjbennett
clifro,DarterAnalyst
hydroscoper,kvantas
FedData,rkbocin
rAltmetric,_inundata
bomrang,adamhsparks
GSODR,adamhsparks
nasapower,adamhsparks
