rotl	10.1007/s00338-019-01820-w	Mihalitsis, M., & Bellwood, D. R. (2019). Morphological and functional diversity of piscivorous fishes on coral reefs. Coral Reefs. <https://doi.org/10.1007/s00338-019-01820-w>	img/Mihalitsis&Bellwood2019CoralReefs.png	diversity of piscivorous fishes on coral reefs
MODIStools	10.1111/gcb.14710	Kannenberg, S. A., Novick, K. A., Alexander, M. R., Maxwell, J. T., Moore, D. J. P., Phillips, R. P., & Anderegg, W. R. L. (2019). Linking drought legacy effects across scales: From leaves to tree rings to ecosystems. Global Change Biology. <https://doi.org/10.1111/gcb.14710>	NA	drought legacy effects on ecosystems
plotly	10.1111/2041-210x.13232	Aspillaga, E., Safi, K., Hereu, B., & Bartumeus, F. (2019). Modelling the three‐dimensional space use of aquatic animals combining topography and Eulerian telemetry data. Methods in Ecology and Evolution. <https://doi.org/10.1111/2041-210x.13232>	img/AspillagaEtal2019MethodsInEcology&Evolution.png	modelling 3d space use of aquatic animals
plotly	10.1038/s41598-019-43875-3	Gibson, K. M., Nguyen, B. N., Neumann, L. M., Miller, M., Buss, P., Daniels, S., … Pukazhenthi, B. (2019). Gut microbiome differences between wild and captive black rhinoceros – implications for rhino health. Scientific Reports, 9(1). <https://doi.org/10.1038/s41598-019-43875-3>	NA	gut microbiome health in the black rhinoceros


skimr	10.1007/s11482-019-09730-3	Sinval, J., Sirgy, M. J., Lee, D.-J., & Marôco, J. (2019). The Quality of Work Life Scale: Validity Evidence from Brazil and Portugal. Applied Research in Quality of Life. <https://doi.org/10.1007/s11482-019-09730-3>	img/xxx	asdfadsf
hunspell	NA	Iserman, M., Nalabandian, T., & Ireland, M. (2019, June). Dictionaries and Decision Trees for the 2019 CLPsych Shared Task. In Proceedings of the Sixth Workshop on Computational Linguistics and Clinical Psychology (pp. 188-194). <https://www.aclweb.org/anthology/W19-3025>	img/xxx	asdfadsf
rfishbase	10.1111/jbi.13595	Goodman, M. C., Hannah, S. M., & Ruttenberg, B. I. (2019). The relationship between geographic range extent, sea surface temperature and adult traits in coastal temperate fishes. Journal of Biogeography. <https://doi.org/10.1111/jbi.13595>	img/xxx	asdfadsf
RSelenium	10.1002/joc.6177	Fioravanti, G., Piervitali, E., & Desiato, F. (2019). A new homogenized daily data set for temperature variability assessment in Italy. International Journal of Climatology. <https://doi.org/10.1002/joc.6177>	img/xxx	asdfadsf
magick	10.1016/j.chemosphere.2019.05.246	Logemann, A., Schafberg, M., & Brockmeyer, B. (2019). Using the HPTLC-bioluminescence bacteria assay for the determination of acute toxicities in marine sediments and its eligibility as a monitoring assessment tool. Chemosphere. <https://doi.org/10.1016/j.chemosphere.2019.05.246>	img/xxx	asdfadsf
rentrez	NA	Al-Mustanjid, A. (2019). Design of a common pathway drug for all types of cardiovascular diseases: A network biology approach. Network Biology, 9(2), 28. <http://www.iaees.org/publications/journals/nb/articles/2019-9(2)/design-of-a-common-pathway-drug-for-cardiovascular-diseases.pdf>	img/xxx	asdfadsf
MODIStools	10.1186/s40795-019-0296-5	Wambui, K. M., & Musenge, E. (2019). A space-time analysis of recurrent malnutrition-related hospitalisations in Kilifi, Kenya for children under-5 years. BMC Nutrition, 5(1). <https://doi.org/10.1186/s40795-019-0296-5>	img/xxx	asdfadsf
plotly	10.1186/s40168-019-0702-x	Wright, R. J., Gibson, M. I., & Christie-Oleza, J. A. (2019). Understanding microbial community dynamics to improve optimal microbiome selection. Microbiome, 7(1). <https://doi.org/10.1186/s40168-019-0702-x>	img/xxx	asdfadsf
FedData	10.1111/tbed.13265	Meisner, J., Clifford, W. R., Wohrle, R. D., Kangiser, D., & Rabinowitz, P. (2019). Soil and climactic predictors of canine coccidioidomycosis seroprevalence in Washington State: an ecological cross‐sectional study. Transboundary and Emerging Diseases. <https://doi.org/10.1111/tbed.13265>	img/xxx	asdfadsf
rotl	10.1016/j.biocon.2019.05.054	Tetzlaff, S. J., Sperry, J. H., & DeGregorio, B. A. (2019). Effects of antipredator training, environmental enrichment, and soft release on wildlife translocations: A review and meta-analysis. Biological Conservation, 236, 324–331. <https://doi.org/10.1016/j.biocon.2019.05.054>	img/xxx	asdfadsf
rredlist,rgbif	10.1111/jbi.13619	Alhajeri, B. H., & Fourcade, Y. (2019). High correlation between species‐level environmental data estimates extracted from IUCN expert range maps and from GBIF occurrence data. Journal of Biogeography. <https://doi.org/10.1111/jbi.13619>	img/xxx	asdfadsf
taxize	10.3390/genes10060431	Boggs, Scheible, Machado, & Meiklejohn. (2019). Single Fragment or Bulk Soil DNA Metabarcoding: Which is Better for Characterizing Biological Taxa Found in Surface Soils for Sample Separation? Genes, 10(6), 431. <https://doi.org/10.3390/genes10060431>	img/xxx	asdfadsf
rgbif	10.3897/zookeys.852.28567	Ros-Candeira, A., Pérez-Luque, A. J., Suárez-Muñoz, M., Bonet-García, F. J., Hódar, J. A., Giménez de Azcárate, F., & Ortega-Díaz, E. (2019). Dataset of occurrence and incidence of pine processionary moth in Andalusia, south Spain. ZooKeys, 852, 125–136. <https://doi.org/10.3897/zookeys.852.28567>	img/xxx	asdfadsf
rfishbase	10.32942/osf.io/8cu4y	Van Denderen, D., Gislason, H., & Andersen, K. H. (2019). Little difference in average fish growth and maximum size across temperatures. EcoEvoRxiv. <https://doi.org/10.32942/osf.io/8cu4y>	img/xxx	asdfadsf
