pkg	doi	type	file	usage_snippet	tiny_snippet
spocc	10.1002/ece3.3163	research	AlfsnesEtal2017Ecology&Evolution.pdf	Observational data of the species were obtained from the gBif database using R with the rgbif package v0.8.0 and the spocc package v0.4.0. From gBif we obtained for each species; observations of the maximum absolute latitude (the most northern or southern extent) (in degrees) (MAL), maximum depth (in meters, crustaceans only) (MDE) and maximum elevation (in meters, insects only) (MEL).	use GBIF data to explore genome size variation against many variables
spocc	10.3897/rio.3.e13414	research	VanderhoevenEtal2017Rio.pdf	grant proposal: Species occurrence data gathering (and dynamic updating) will be facilitated through the use of designated R packages that directly communicate with these databases (e.g. the ‘rgbif’ (Chamberlain et al. 2016) and ‘spocc’ packages of the rOpenSci project	grant proposal: data will be collected with spocc
spocc	NA	research	Perez-EscobarEtal2017Phytotaxa.pdf	Species distributions of morphologically related and sympatric taxa were obtained from herbarium specimens (including type localities and type specimens) and the GBIF data repository using the package ‘spocc’ 	use GBIF data to construct species distributions
spocc	10.1111/ele.12860	research	DallasEtal2017EcoLett.pdf	An assumption of the main text analyses was that the range of each species – or at least that the centroid of the species range – was adequately estimated the sampled populations ... To investigate this further, we calculated species range and niche centroids using freely available occurrence data obtained from the Global Biodiversity Information Facility using the R package spocc (Chamberlain, 2017). Species geographic range and niche centroids were estimated by forming a minimum convex hull around the sampling occurrence points ... This allowed us the opportunity to compare species range estimates from abundance and occurrence data.	use GBIF data to construct species range and niche centroids
spocc	10.3119/16-13	research	Oldham&Weeks2017Rhodora.pdf	Latitude and longitude coordinatedata necessary for developing a range map of the species were collected using spocc (Chamberlain et al. 2016) from the Global BiodiversityInformation Facility (www.gbif.org), Integrated Digitized Biocollections (www.idigbio.org), and United States Geological Survey Biodiversity Information Serving Our Nation	use GBIF, iDigBio, and BISON data to construct range maps
spocc	10.1111/1365-2656.12721	research	SalesEtal2017JAnimEcol.pdf	We collected occurrence data for the wild boar and its hybrids ... from different databases, ... GBIF ... VertNet ... BISON ... Ecoengine ... iN aturalist and the Invasive Species Compendium (ICS). In addition, we exhaustively searched nonformal sources of wild boar occurrence information ... All occurrences from databases were downloaded with the function occ from R package ... spocc ..., and occurrences from other sources were downloaded manually.	use GBIF, VertNet, BISON, Ecoengine, iNaturalist data to construct species niche models
spocc	10.1016/S0140-6736(18)31224-8	research	LongbottomEtal2018TheLancet.pdf	We assembled a list of snake species using WHO guidelines ... We also obtained occurrence data for each snake species from a variety of websites, such as VertNet and iNaturalist, using the spocc R package (version 0.7.0)	use Vertnet and iNaturalist data to identify most vulernable populations for snakebites
spocc	10.1016/j.actatropica.2018.08.014	research	SamyEtal2018ActaTropica.pdf	Vector occurrences were drawn from ... GBIF ... and the VectorMap project (www.vectormap.org). Vector occurrences included records of five Culex spp.; Cx. tritaeniorhynchus, Cx. pseudovishnui, Cx. vishnui, Cx. fuscocephala, and Cx. gelidus. Records for reservoir species were obtained from GBIF; these records included E. garzetta, E. intermedia, and N. nycticorax. Records from the GBIF were obtained using the spocc package in R via the online Niche ToolBox repository in http://shiny.conabio.gob.mx:3838/nichetoolb2. Finally, occurrence records of JEV were compiled from the Food and Agriculture Organization Emergency Prevention System for Transboundary Animal and Plant Pests and Diseases Information System (EMPRES-i; http://empres-i.fao.org), and HealthMap (http://www.healthmap.org)	use GBIF data to map potential distributions of mosquito vectors based on ecological niche models
spocc	10.1186/s12936-018-2500-5	software	PfefferEtal2018MalariaJournal.pdf	mosquito presence data (red triangles) were obtained from GBIF using the SpOcc zoon module (https://github.com/zoonproject/modules/blob/master/R/SpOcc.R)	use GBIF data via zoon in malariaAtlas R pkg
spocc	10.1098/rstb.2017.0390	research	PerezEtal2018PhilosophicalTransactionsB.pdf	To create this last subset of species, we estimated the climatic distributions of species in the FTBG and FRED datasets by retrieving all available georeferenced records for our target species from ... GBIF (... GBIF accessed via the ‘spocc’ R package [66] on 23 February 2018). For all species with 􏰀25 georeferenced records, we estimated the mean annual temperatures (MATs) and annual precipitation (PPT) at each collection location for all occurrences by extracting the MAT (BIO1) and PPT (BIO12) values from the Worldclim v.1.4 database at a spatial resolution of 30 arc seconds [67]. To account for potentially erroneous georeferenced locations, we removed any occurrences lying outside the 2.5 and 97.5% quantiles of MAT and PPT for each species. We then selected the woody species from the FRED and FTBG with mean MAT 􏰀158C and 􏰂308C, and mean PPT 􏰀1000 and 􏰂3500 mm	use GBIF data to estimate climatic distributions of species
